Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID (mapped data supplied by NCBI)	UniProt ID (mapped data supplied by UniProt)
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2		1596	
ADAM5	ADAM metallopeptidase domain 5, pseudogene	ADAM5P	tMDCII	255926	Q6NVV9
ADAM6	ADAM metallopeptidase domain 6, pseudogene	C14orf96	tMDCIV	8755	
ADAM7	ADAM metallopeptidase domain 7		GP-83, EAPI	8756	Q9H2U9
ADAM8	ADAM metallopeptidase domain 8		CD156, MS2	101	P78325
ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9, KIAA0021, MCMP, Mltng	8754	Q13443
ADAM10	ADAM metallopeptidase domain 10		kuz, MADM, HsT18717, CD156c	102	O14672
ADAM11	ADAM metallopeptidase domain 11	MDC		4185	O75078
ADAM12	ADAM metallopeptidase domain 12		MCMPMltna, MLTN	8038	O43184
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)		CAR10, FLJ31066	100967225	
ADAM15	ADAM metallopeptidase domain 15		MDC15	8751	Q13444
ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP, CD156B	6868	P78536
ADAM18	ADAM metallopeptidase domain 18		tMDCIII, ADAM27	8749	Q9Y3Q7
ADAM19	ADAM metallopeptidase domain 19		MLTNB	8728	Q9H013
ADAM20	ADAM metallopeptidase domain 20			8748	O43506
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55		317760	
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2			100533671	
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3			644325	
ADAM21	ADAM metallopeptidase domain 21		ADAM31	8747	Q9UKJ8
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P		145241	
ADAM22	ADAM metallopeptidase domain 22		MDC2	53616	Q9P0K1
ADAM23	ADAM metallopeptidase domain 23		MDC3	8745	O75077
ADAM24P	ADAM metallopeptidase domain 24, pseudogene			646479	
ADAM28	ADAM metallopeptidase domain 28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	10863	Q9UKQ2
ADAM29	ADAM metallopeptidase domain 29		svph1, CT73	11086	Q9UKF5
ADAM30	ADAM metallopeptidase domain 30		svph4	11085	Q9UKF2
ADAM32	ADAM metallopeptidase domain 32			203102	Q8TC27
ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521, dJ964F7.1	80332	Q9BZ11
ADAMDEC1	ADAM-like, decysin 1		M12.219	27299	O15204
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1		C3-C5, METH1, KIAA1346	9510	Q9UHI8
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	9509	O95450
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3		KIAA0366, ADAMTS-4	9508	O15072
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4		KIAA0688, ADAMTS-2, ADMP-1	9507	O75173
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5		ADMP-2, ADAMTS11	11096	Q9UNA0
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6		ADAM-TS6	11174	Q9UKP5
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7		ADAM-TS7, DKFZp434H204	11173	Q9UKP4
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8		METH2, FLJ41712, ADAM-TS8	11095	Q9UP79
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9		KIAA1312	56999	Q9P2N4
ADAMTS9-AS1	ADAMTS9 antisense RNA 1			100507082	
ADAMTS9-AS2	ADAMTS9 antisense RNA 2			100507098	
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif, 10		ADAM-TS10	81794	Q9H324
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12			81792	P58397
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	11093	Q76LX8
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif, 14			140766	Q8WXS8
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15			170689	Q8TE58
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16		ADAMTS16s	170690	Q8TE57
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17		FLJ32769, FLJ16363	170691	Q8TE56
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	ADAMTS21		170692	Q8TE60
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19			171019	Q8TE59
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif, 20		GON-1	80070	P59510
ADAMTSL1	ADAMTS-like 1	C9orf94	ADAMTSR1, FLJ35283	92949	Q8N6G6
ADAMTSL2	ADAMTS-like 2		KIAA0605	9719	Q86TH1
ADAMTSL3	ADAMTS-like 3		KIAA1233, punctin-2	57188	P82987
ADAMTSL4	ADAMTS-like 4	TSRC1	DKFZP434K1772	54507	Q6UY14
ADAMTSL5	ADAMTS-like 5	THSD6		339366	Q6ZMM2
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L	11033	O75689
ADAP2	ArfGAP with dual PH domains 2	CENTA2		55803	Q9NPF8
ADAR	adenosine deaminase, RNA-specific	IFI4, G1P1	ADAR1	103	P55265
ADARB1	adenosine deaminase, RNA-specific, B1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	104	P78563
ADARB2	adenosine deaminase, RNA-specific, B2		RED2, hRED2, ADAR3	105	Q9NS39
ADARB2-AS1	ADARB2 antisense RNA 1	C10orf109, NCRNA00168	bA466B20.1	642394	A8MUL3
ADAT1	adenosine deaminase, tRNA-specific 1			23536	Q9BUB4
ADAT2	adenosine deaminase, tRNA-specific 2	DEADC1	dJ20N2.1, TAD2	134637	Q7Z6V5
ADAT3	adenosine deaminase, tRNA-specific 3		TAD3	113179	Q96EY9
ADC	arginine decarboxylase		ODC-p, ODC1L, KIAA1945	113451	Q96A70
ADCK1	aarF domain containing kinase 1		FLJ39600	57143	Q86TW2
ADCK2	aarF domain containing kinase 2		MGC20727	90956	Q7Z695
ADCK3	aarF domain containing kinase 3	CABC1	COQ8, SCAR9	56997	Q8NI60
ADCK4	aarF domain containing kinase 4		FLJ12229, COQ8	79934	Q96D53
ADCK5	aarF domain containing kinase 5		FLJ35454	203054	Q3MIX3
ADCP1	adenosine deaminase complexing protein 1			106	
ADCY1	adenylate cyclase 1 (brain)		AC1	107	Q08828
ADCY2	adenylate cyclase 2 (brain)		HBAC2, KIAA1060, AC2	108	Q08462
ADCY3	adenylate cyclase 3		AC3	109	O60266
ADCY4	adenylate cyclase 4		AC4	196883	Q8NFM4
ADCY5	adenylate cyclase 5		AC5	111	O95622
ADCY6	adenylate cyclase 6		AC6	112	O43306
ADCY7	adenylate cyclase 7		KIAA0037, AC7	113	P51828
ADCY8	adenylate cyclase 8 (brain)	ADCY3	HBAC1, AC8	114	P40145
ADCY9	adenylate cyclase 9		AC9	115	O60503
ADCY10	adenylate cyclase 10 (soluble)		SAC, Sacy, SACI, HCA2, RP1-313L4.2	55811	Q96PN6
ADCY10P1	adenylate cyclase 10 (soluble) pseudogene 1			221442	
ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)		PACAP	116	P18509
ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I		PAC1, PACAPR, PAC1R	117	P41586
ADD1	adducin 1 (alpha)			118	P35611
ADD2	adducin 2 (beta)		ADDB	119	P35612
ADD3	adducin 3 (gamma)	ADDL		120	Q9UEY8
ADFN	albinism-deafness syndrome			122	
ADGB	androglobin	C6orf103	FLJ23121, dJ408K24.1	79747	Q8N7X0
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1		124	P07327
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	ADH2		125	P00325
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH3		126	P00326
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide		ADH-2	127	P08319
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	FDH	ADH-3, ADHX	128	P11766
ADH5P2	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2			343296	
ADH5P3	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3			100131810	
ADH5P4	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4	ADH5B	bA707M13.2	642443	
ADH6	alcohol dehydrogenase 6 (class V)		ADH-5	130	P28332
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide		ADH-4	131	P40394
ADHFE1	alcohol dehydrogenase, iron containing, 1		ADHFe1, FLJ32430	137872	Q8IWW8
ADI1	acireductone dioxygenase 1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638	55256	Q9BV57
ADIG	adipogenin		MGC39724, SMAF1, RP5-1100H13.2	149685	Q0VDE8
ADIPOQ	adiponectin, C1Q and collagen domain containing	ACDC	ACRP30, AdipoQ, apM1, GBP28, adiponectin	9370	Q15848
ADIPOQ-AS1	ADIPOQ antisense RNA 1			100874095	
ADIPOR1	adiponectin receptor 1		PAQR1, ACDCR1	51094	Q96A54
ADIPOR2	adiponectin receptor 2		PAQR2, ACDCR2	79602	Q86V24
ADK	adenosine kinase		AK	132	P55263
ADM	adrenomedullin		AM	133	P35318
ADM2	adrenomedullin 2		AM2, FLJ21135	79924	Q7Z4H4
ADM5	adrenomedullin 5 (putative)	C19orf76	AM5	199800	C9JUS6
ADNP	activity-dependent neuroprotector homeobox		KIAA0784, ADNP1	23394	Q9H2P0
ADNP2	ADNP homeobox 2	ZNF508	KIAA0863	22850	Q6IQ32
ADO	2-aminoethanethiol (cysteamine) dioxygenase	C10orf22	FLJ14547	84890	Q96SZ5
ADORA1	adenosine A1 receptor		RDC7	134	P30542
ADORA2A	adenosine A2a receptor	ADORA2	RDC8	135	P29274
ADORA2A-AS1	ADORA2A antisense RNA 1	C22orf45	FLJ34651	646023	P86434
ADORA2B	adenosine A2b receptor			136	P29275
ADORA2BP1	adenosine A2b receptor pseudogene 1	ADORA2BP		137	
ADORA3	adenosine A3 receptor		AD026	140	P33765
ADPGK	ADP-dependent glucokinase		DKFZp434B195, ADP-GK	83440	Q9BRR6
ADPGK-AS1	ADPGK antisense RNA 1			100287559	
ADPRH	ADP-ribosylarginine hydrolase		ARH1	141	P54922
ADPRHL1	ADP-ribosylhydrolase like 1		ARH2	113622	Q8NDY3
ADPRHL2	ADP-ribosylhydrolase like 2		ARH3, FLJ20446	54936	Q9NX46
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent	C17orf48	MDS006	56985	Q3LIE5
ADRA1A	adrenoceptor alpha 1A	ADRA1C	ADRA1L1	148	P35348
ADRA1B	adrenoceptor alpha 1B			147	P35368
ADRA1D	adrenoceptor alpha 1D		ADRA1R, ADRA1A, ADRA1	146	P25100
ADRA2A	adrenoceptor alpha 2A	ADRA2, ADRA2R	ADRAR	150	P08913
ADRA2B	adrenoceptor alpha 2B	ADRA2L1, ADRA2RL1	ADRARL1	151	P18089
ADRA2C	adrenoceptor alpha 2C	ADRA2L2, ADRA2RL2	ADRARL2	152	P18825
ADRB1	adrenoceptor beta 1	ADRB1R		153	P08588
ADRB2	adrenoceptor beta 2, surface	ADRB2R	ADRBR, BAR, B2AR	154	P07550
ADRB3	adrenoceptor beta 3			155	P13945
ADRBK1	adrenergic, beta, receptor kinase 1		GRK2, BARK1	156	P25098
ADRBK2	adrenergic, beta, receptor kinase 2		GRK3, BARK2	157	P35626
ADRM1	adhesion regulating molecule 1		GP110, Rpn13, ARM1	11047	Q16186
ADSL	adenylosuccinate lyase			158	P30566
ADSS	adenylosuccinate synthase			159	P30520
ADSSL1	adenylosuccinate synthase like 1		FLJ38602	122622	Q8N142
ADTRP	androgen-dependent TFPI-regulating protein	C6orf105	dJ413H6.1, AIG1L	84830	Q96IZ2
AEBP1	AE binding protein 1		ACLP	165	Q8IUX7
AEBP2	AE binding protein 2		MGC17922	121536	Q6ZN18
AEN	apoptosis enhancing nuclease	ISG20L1	FLJ12484, FLJ12562	64782	Q8WTP8
AES	amino-terminal enhancer of split		GRG5, TLE5	166	Q08117
AF8T	AF8 temperature sensitivity complementing			169	
AFA	ankyloblepharon filiforme adnatum			170	
AFAP1	actin filament associated protein 1		AFAP-110, AFAP	60312	Q8N556
AFAP1-AS1	AFAP1 antisense RNA 1	AFAP1AS, AFAP1-AS	MGC10981	84740	
AFAP1L1	actin filament associated protein 1-like 1		FLJ36748	134265	Q8TED9
AFAP1L2	actin filament associated protein 1-like 2	KIAA1914	FLJ14564, Em:AC005383.4, XB130	84632	Q8N4X5
AFD1	acrofacial dysostosis 1, Nager type			171	
AFF1	AF4/FMR2 family, member 1	PBM1, MLLT2	AF-4, AF4	4299	P51825
AFF2	AF4/FMR2 family, member 2	FMR2	FRAXE	2334	P51816
AFF2-IT1	AFF2 intronic transcript 1 (non-protein coding)			100874269	
AFF3	AF4/FMR2 family, member 3	LAF4	MLLT2-like	3899	P51826
AFF4	AF4/FMR2 family, member 4		AF5Q31, MCEF	27125	Q9UHB7
AFG3L1P	AFG3 ATPase family member 3-like 1 (S. cerevisiae), pseudogene	AFG3, AFG3L1		172	
AFG3L2	AFG3 ATPase family member 3-like 2 (S. cerevisiae)	SCA28		10939	Q9Y4W6
AFG3L2P1	AFG3 ATPase family member 3-like 2 (S. cerevisiae) pseudogene 1	AFG3L2P		347028	
AFM	afamin		ALB2, ALBA	173	P43652
AFMID	arylformamidase		DKFZp686F03259, KF	125061	Q63HM1
AFP	alpha-fetoprotein	HPAFP	FETA	174	P02771
AFTPH	aftiphilin		MGC33965, FLJ20080, FLJ23793, Nbla10388	54812	Q6ULP2
AGA	aspartylglucosaminidase		ASRG	175	P20933
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	CENTG2	KIAA1099, GGAP1	116987	Q9UPQ3
AGAP1-IT1	AGAP1 intronic transcript 1 (non-protein coding)			100506749	
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	CENTG1		116986	Q99490
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	CENTG3		116988	Q96P47
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	CTGLF1	Em:AC012044.1, MRIP2	119016	Q96P64
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	CTGLF2	Em:AC073389.1	729092	A6NIR3
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	CTGLF3	bA324H6.1	414189	Q5VW22
AGAP7	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7	CTGLF4	bA109G10.1	653268	Q5VUJ5
AGAP8	ArfGAP with GTPase domain, ankyrin repeat and PH domain 8	CTGLF5		728404	Q5SRD3
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	CTGLF6	bA301J7.2, FLJ00312	642517	Q5VTM2
AGAP10	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10	CTGLF7	bA144G6.2	728127	Q5T2P9
AGAP11	ankyrin repeat and GTPase domain Arf GTPase activating protein 11		KIAA1975	119385	Q8TF27
AGBL1	ATP/GTP binding protein-like 1		FLJ32310	123624	Q96MI9
AGBL2	ATP/GTP binding protein-like 2		FLJ23598	79841	Q5U5Z8
AGBL3	ATP/GTP binding protein-like 3		MGC32955	340351	Q8NEM8
AGBL4	ATP/GTP binding protein-like 4		FLJ14442	84871	Q5VU57
AGBL4-IT1	AGBL4 intronic transcript 1 (non-protein coding)			100874313	
AGBL5	ATP/GTP binding protein-like 5		FLJ21839	60509	Q8NDL9
AGBL5-AS1	AGBL5 antisense RNA 1			100874031	
AGBL5-IT1	AGBL5 intronic transcript 1 (non-protein coding)				
AGER	advanced glycosylation end product-specific receptor		RAGE	177	Q15109
AGFG1	ArfGAP with FG repeats 1	HRB	RIP, RAB	3267	P52594
AGFG2	ArfGAP with FG repeats 2	HRBL	RABR	3268	O95081
AGGF1	angiogenic factor with G patch and FHA domains 1		VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7	55109	Q8N302
AGGF1P1	angiogenic factor with G patch and FHA domains 1 pseudogene 1			100132380	
AGGF1P2	angiogenic factor with G patch and FHA domains 1 pseudogene 2			644435	
AGGF1P3	angiogenic factor with G patch and FHA domains 1 pseudogene 3			391552	
AGGF1P4	angiogenic factor with G patch and FHA domains 1 pseudogene 4			100129351	
AGK	acylglycerol kinase	MULK	FLJ10842	55750	Q53H12
AGKP1	acylglycerol kinase pseudogene 1		AGKY1	359793	
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase			178	P35573
AGMAT	agmatine ureohydrolase (agmatinase)		FLJ23384	79814	Q9BSE5
AGMO	alkylglycerol monooxygenase	TMEM195	FLJ16237	392636	Q6ZNB7
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)			179	
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)		LPAAT-alpha	10554	Q99943
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	BSCL		10555	O15120
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3		LPAAT-gamma	56894	Q9NRZ7
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)		LPAAT-delta, dJ473J16.2	56895	Q9NRZ5
AGPAT4-IT1	AGPAT4 intronic transcript 1 (non-protein coding)	C6orf59, NCRNA00241	FLJ23112	79992	Q9H0P7
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)		FLJ11210, LPAAT-e, LPAAT-epsilon	55326	Q9NUQ2
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1			646231	
AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)		DKFZp586M1819, LPAAT-zeta	137964	Q86UL3
AGPAT9	1-acylglycerol-3-phosphate O-acyltransferase 9		MGC11324, LPAAT-theta, MAG1, HMFN0839	84803	Q53EU6
AGPHD1	aminoglycoside phosphotransferase domain containing 1		LOC123688	123688	A2RU49
AGPS	alkylglycerone phosphate synthase		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S	8540	O00116
AGR2	anterior gradient 2 homolog (Xenopus laevis)		XAG-2, HAG-2, AG2, PDIA17	10551	O95994
AGR3	anterior gradient 3 homolog (Xenopus laevis)		HAG3, hAG-3, BCMP11, PDIA18	155465	Q8TD06
AGRN	agrin		AGRIN	375790	O00468
AGRP	agouti related protein homolog (mouse)		Agrt, ART, ASIP2	181	O00253
AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	SERPINA8		183	P01019
AGTPBP1	ATP/GTP binding protein 1		KIAA1035, Nna1	23287	Q9UPW5
AGTR1	angiotensin II receptor, type 1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B	185	P30556
AGTR2	angiotensin II receptor, type 2		AT2, MRX88	186	P50052
AGTRAP	angiotensin II receptor-associated protein		ATRAP	57085	Q6RW13
AGXT	alanine-glyoxylate aminotransferase	SPAT	AGXT1, PH1, AGT, SPT, AGT1	189	P21549
AGXT2	alanine--glyoxylate aminotransferase 2		AGT2	64902	Q9BYV1
AGXT2L1	alanine-glyoxylate aminotransferase 2-like 1			64850	Q8TBG4
AGXT2L2	alanine-glyoxylate aminotransferase 2-like 2		MGC15875	85007	Q8IUZ5
AHCTF1	AT hook containing transcription factor 1		ELYS	25909	Q8WYP5
AHCTF1P1	AT hook containing transcription factor 1 pseudogene 1	AHCTF1P	ELYS-like	285116	
AHCY	adenosylhomocysteinase		SAHH	191	P23526
AHCYL1	adenosylhomocysteinase-like 1		XPVKONA, IRBIT	10768	O43865
AHCYL2	adenosylhomocysteinase-like 2		KIAA0828	23382	Q96HN2
AHDC1	AT hook, DNA binding motif, containing 1		DJ159A19.3, RP1-159A19.1	27245	Q5TGY3
AHI1	Abelson helper integration site 1		FLJ20069, ORF1, JBTS3	54806	Q8N157
AHNAK	AHNAK nucleoprotein		MGC5395	79026	Q09666
AHNAK2	AHNAK nucleoprotein 2	C14orf78		113146	Q8IVF2
AHR	aryl hydrocarbon receptor		bHLHe76	196	P35869
AHRR	aryl-hydrocarbon receptor repressor	AHH, AHHR	KIAA1234, bHLHe77	57491	A9YTQ3
AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	C14orf3	p38	10598	O95433
AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)		DKFZp564C236, Hch1	130872	Q719I0
AHSG	alpha-2-HS-glycoprotein		FETUA, A2HS, HSGA	197	P02765
AHSP	alpha hemoglobin stabilizing protein	ERAF	EDRF	51327	Q9NZD4
AIC	Aicardi syndrome			192	
AICDA	activation-induced cytidine deaminase		HIGM2, CDA2, ARP2, AID	57379	Q9GZX7
AIDA	axin interactor, dorsalization associated	C1orf80	FLJ12806	64853	Q96BJ3
AIF1	allograft inflammatory factor 1		IRT-1, AIF-1, Em:AF129756.17, IBA1	199	P55008
AIF1L	allograft inflammatory factor 1-like	C9orf58	IBA2, FLJ12783	83543	Q9BQI0
AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	PDCD8	AIF	9131	O95831
AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	AMID	FLJ14497, PRG3	84883	Q9BRQ8
AIFM3	apoptosis-inducing factor, mitochondrion-associated, 3		AIFL, FLJ30473	150209	Q96NN9
AIG1	androgen-induced 1		dJ95L4.1, AIG-1, FLJ10485	51390	Q9NVV5
AIG1P1	androgen-induced 1 pseudogene 1				
AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type			201	
AIM1	absent in melanoma 1		ST4, CRYBG1	202	Q9Y4K1
AIM1L	absent in melanoma 1-like		CRYBG2, FLJ38020	55057	Q8N1P7
AIM2	absent in melanoma 2		PYHIN4	9447	O14862
AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	SCYE1	EMAPII, EMAP-2, p43	9255	Q12904
AIMP1P1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 1	SCYE1P	bA400P21.1	170547	
AIMP1P2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 2			100873064	
AIMP2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2		p38, PRO0992, JTV-1, JTV1	7965	Q13155
AIP	aryl hydrocarbon receptor interacting protein		XAP2, ARA9, FKBP16	9049	O00170
AIPL1	aryl hydrocarbon receptor interacting protein-like 1	LCA4		23746	Q9NZN9
AIRE	autoimmune regulator	APECED	PGA1, APS1	326	O43918
AIRN	antisense of IGF2R non-protein coding RNA		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1	100271873	
AIS1	autoimmune susceptibility 1			373071	
AIS2	autoimmune susceptibility 2			378426	
AIS3	autoimmune susceptibility 3 (vitiligo specific)			378427	
AJAP1	adherens junctions associated protein 1		SHREW1, SHREW-1, MOT8	55966	Q9UKB5
AJUBA	ajuba LIM protein	JUB	MGC15563	84962	Q96IF1
AK1	adenylate kinase 1			203	P00568
AK2	adenylate kinase 2			204	P54819
AK2P1	adenylate kinase 2 pseudogene 1		AK2B	266920	
AK2P2	adenylate kinase 2 pseudogene 2			339736	
AK3	adenylate kinase 3	AK6, AK3L1	AKL3L1	50808	Q9UIJ7
AK3P2	adenylate kinase 3 pseudogene 2		HsT26053	100419074	
AK3P3	adenylate kinase 3 pseudogene 3			100419075	
AK3P4	adenylate kinase 3 pseudogene 4			100129959	
AK3P5	adenylate kinase 3 pseudogene 5			100288319	
AK3P6	adenylate kinase 3 pseudogene 6			100873789	
AK4	adenylate kinase 4	AK3, AK3L1		205	P27144
AK4P1	adenylate kinase 4 pseudogene 1	AK3P1		206	
AK4P2	adenylate kinase 4 pseudogene 2			100132104	
AK4P3	adenylate kinase 4 pseudogene 3	AK3L2	AK3L2P	645619	
AK4P4	adenylate kinase 4 pseudogene 4			100128705	
AK4P5	adenylate kinase 4 pseudogene 5			100526416	
AK4P6	adenylate kinase 4 pseudogene 6			649288	
AK5	adenylate kinase 5			26289	Q9Y6K8
AK7	adenylate kinase 7		FLJ32864	122481	Q96M32
AK8	adenylate kinase 8	C9orf98	FLJ32704	158067	Q96MA6
AKAP1	A kinase (PRKA) anchor protein 1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43	8165	Q92667
AKAP2	A kinase (PRKA) anchor protein 2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716	11217	Q9Y2D5
AKAP3	A kinase (PRKA) anchor protein 3		FSP95, SOB1, AKAP110, CT82	10566	O75969
AKAP4	A kinase (PRKA) anchor protein 4		p82, hAKAP82, AKAP82, Fsc1, HI, CT99	8852	Q5JQC9
AKAP5	A kinase (PRKA) anchor protein 5		AKAP75, AKAP79	9495	P24588
AKAP6	A kinase (PRKA) anchor protein 6		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6	9472	Q13023
AKAP7	A kinase (PRKA) anchor protein 7		AKAP18, AKAP15	9465	O43687
AKAP8	A kinase (PRKA) anchor protein 8		AKAP95, DKFZp586B1222	10270	O43823
AKAP8L	A kinase (PRKA) anchor protein 8-like		NAKAP95, HAP95	26993	Q9ULX6
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11	10142	Q99996
AKAP10	A kinase (PRKA) anchor protein 10		D-AKAP2, PRKA10, MGC9414	11216	O43572
AKAP11	A kinase (PRKA) anchor protein 11		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	11215	Q9UKA4
AKAP11-IT1	AKPA11 intronic transcript 1 (non-protein coding)			100874349	
AKAP12	A kinase (PRKA) anchor protein 12		AKAP250, SSeCKS	9590	Q02952
AKAP13	A kinase (PRKA) anchor protein 13	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	11214	Q12802
AKAP14	A kinase (PRKA) anchor protein 14		AKAP28	158798	Q86UN6
AKAP16BP	A kinase (PRKA) anchor protein 16B, pseudogene	AKAP16B		139516	
AKAP17A	A kinase (PRKA) anchor protein 17A	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	8227	Q02040
AKD1	adenylate kinase domain containing 1	C6orf224, AKD2, C6orf199	FLJ42177, FLJ25791, dJ70A9.1, MGC26954	221264	Q5TCS8
AKIP1	A kinase (PRKA) interacting protein 1	C11orf17	BCA3	56672	Q9NQ31
AKIRIN1	akirin 1	C1orf108	FLJ12666	79647	Q9H9L7
AKIRIN2	akirin 2	C6orf166	FLJ10342, dJ486L4.2	55122	Q53H80
AKIRIN2-AS1	AKIRIN2 antisense RNA 1	NCRNA00120	PRO2266	55389	
AKNA	AT-hook transcription factor		KIAA1968	80709	Q7Z591
AKNAD1	AKNA domain containing 1	C1orf62	MGC26989	254268	Q5T1N1
